Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.197101,-0.59855,-1.197101,0.490066972,0.178161774,0.780495107,-0.005295376,-0.014709376,0.027065253
2,0.59855,0.59855,0,0.480792762,0.176697452,0.77512579,-0.005295376,-0.014709376,0.027065253
3,0.598551,0,0.598551,0.491531295,0.179138022,0.771220897,-0.005295376,-0.014709376,0.027065253
4,0,0.598551,0,0.479816514,0.17181631,0.769756575,-0.005295376,-0.014709376,0.027065253
5,0,0,-1.197101,0.481769011,0.182554842,0.772197146,-0.005295376,-0.014709376,0.027065253
6,0,-0.598551,0.59855,0.486650153,0.181578593,0.775613965,-0.005295376,-0.014709376,0.027065253
7,0,0.598551,-0.59855,0.488114475,0.178161774,0.774637717,-0.005295376,-0.014709376,0.027065253
8,0,-0.598551,0,0.484697655,0.17181631,0.759506218,-0.005295376,-0.014709376,0.027065253
9,-1.197101,0.598551,0,0.474935372,0.18109052,0.778054536,-0.017651252,-0.004118625,0.02147569
10,1.197101,0,0.59855,0.48616208,0.181578593,0.772197146,-0.017651252,-0.004118625,0.02147569
11,0.59855,-0.598551,0,0.484209582,0.175721203,0.759506218,-0.017651252,-0.004118625,0.02147569
12,0.59855,0,-0.59855,0.480304689,0.177185525,0.770732824,-0.017651252,-0.004118625,0.02147569
13,0,1.197101,0.59855,0.480792762,0.178649949,0.771220897,-0.017651252,-0.003971532,0.021916971
14,0,0,-1.197101,0.486650153,0.182554842,0.770732824,-0.017651252,-0.003971532,0.021916971
15,0,0,0,0.478840367,0.183042915,0.767316004,-0.017651252,-0.003971532,0.021916971
16,0,0,0,0.477864118,0.182554842,0.78098318,-0.018092533,-0.003971532,0.021916971
17,-0.59855,1.197101,0,0.480792762,0.170840061,0.769756575,-0.018092533,-0.003971532,0.021916971
18,0,-0.598551,0,0.480792762,0.177185525,0.769268502,-0.018092533,-0.003971532,0.021916971
19,0.59855,-0.59855,0,0.482257085,0.184507238,0.770732824,-0.018092533,-0.003971532,0.021916971
20,0.598401,-1.197101,1.197101,0.487138328,0.178649949,0.793186035,-0.017504158,-0.003971532,0.021181502
21,0,-1.197101,0,0.478840367,0.184507238,0.771709072,-0.017504158,-0.003971532,0.021181502
22,-1.196951,-0.59855,0.598551,0.479816514,0.180602345,0.7844,-0.017504158,-0.003971532,0.021181502
23,-0.59855,-1.197101,0,0.480792762,0.18109052,0.774149643,-0.017504158,-0.003971532,0.021181502
24,-1.197101,0,0.59855,0.480304689,0.181578593,0.788304893,-0.017945439,-0.003824438,0.022064065
25,0,0,0.59855,0.471518654,0.178649949,0.764875433,-0.017945439,-0.003824438,0.022064065
26,0,0,0,0.485185831,0.176209378,0.774149643,-0.017945439,-0.003824438,0.022064065
27,0.59855,0,0,0.479816514,0.176697452,0.781471356,-0.017945439,-0.003824438,0.022064065
28,0,0,0.598551,0.481769011,0.174256881,0.769268502,-0.018239627,-0.00353025,0.021181502
29,1.197101,0.598551,-1.197101,0.484209582,0.184995413,0.771220897,-0.018239627,-0.00353025,0.021181502
30,0,0,-0.59855,0.48274526,0.185483486,0.781959429,-0.018239627,-0.00353025,0.021181502
31,0.59855,0,0.59855,0.48860265,0.183531091,0.771709072,-0.017504158,-0.003677344,0.02147569
32,-1.1971,0.59855,0,0.48860265,0.178649949,0.759018043,-0.017504158,-0.003677344,0.02147569
33,0.59855,-1.197101,0,0.484209582,0.179626096,0.777078287,-0.017504158,-0.003677344,0.02147569
34,0,0,-0.59855,0.483721509,0.172792559,0.776102039,-0.017504158,-0.003677344,0.02147569
35,0,0.598551,0.59855,0.491531295,0.182554842,0.781471356,-0.017651252,-0.004265719,0.021622783
36,-0.59855,0,0,0.48274526,0.1776737,0.780495107,-0.017651252,-0.004265719,0.021622783
37,0,0.59855,0,0.477864118,0.179626096,0.765851682,-0.017651252,-0.004265719,0.021622783
38,0.59855,-1.197101,0,0.485185831,0.180114271,0.763411111,-0.017651252,-0.004265719,0.021622783
39,0.59855,0,0,0.483721509,0.178649949,0.769756575,-0.018386721,-0.003971532,0.021769877
40,-0.59855,-0.59855,0,0.481769011,0.1776737,0.765851682,-0.018386721,-0.003971532,0.021769877
41,0.59855,0,0,0.489090724,0.182066667,0.774637717,-0.018386721,-0.003971532,0.021769877
42,-0.59855,0,0,0.485185831,0.183531091,0.763899185,-0.018386721,-0.003971532,0.021769877
43,-1.197101,0.59855,0,0.484209582,0.183042915,0.768292253,-0.017504158,-0.003824438,0.021328596
44,0.598551,0,0,0.48274526,0.1776737,0.771220897,-0.017504158,-0.003824438,0.021328596
45,0,-0.59855,-0.59855,0.481769011,0.1776737,0.764875433,-0.017504158,-0.003824438,0.021328596
46,0.59855,0,0,0.487626402,0.172304383,0.768780326,-0.017798346,-0.00353025,0.021916971
47,0,0.59855,0.59855,0.47688787,0.184507238,0.776102039,-0.017798346,-0.00353025,0.021916971
48,0,0,-0.59855,0.481280938,0.176209378,0.777078287,-0.017798346,-0.00353025,0.021916971
49,0.59855,-1.197101,-0.598551,0.481769011,0.180114271,0.767316004,-0.017798346,-0.00353025,0.021916971
50,0.598401,0.598551,0.598551,0.47932844,0.188900306,0.780007034,-0.017945439,-0.004412813,0.02147569
51,-0.598401,0,0.59855,0.473959225,0.180114271,0.768292253,-0.017945439,-0.004412813,0.02147569
52,-1.1971,0,-0.59855,0.489090724,0.183531091,0.780007034,-0.017945439,-0.004412813,0.02147569
53,0,0.59855,0,0.48274526,0.1776737,0.762434862,-0.017945439,-0.004412813,0.02147569
54,0,0.598551,0.59855,0.483721509,0.175721203,0.777078287,-0.017798346,-0.004265719,0.022064065
55,0,-0.598551,0,0.483721509,0.174744954,0.776590214,-0.017798346,-0.004265719,0.022064065
56,-1.197101,0.598551,0,0.480792762,0.172304383,0.767316004,-0.017798346,-0.004265719,0.022064065
57,0.59855,0,0,0.479816514,0.175721203,0.777078287,-0.017798346,-0.004265719,0.022064065
58,0.598551,-0.598551,0,0.48860265,0.181578593,0.777078287,-0.017504158,-0.004265719,0.022064065
59,0,-0.59855,0,0.475423547,0.175233129,0.780495107,-0.017504158,-0.004265719,0.022064065
60,0.59855,0.59855,0.59855,0.479816514,0.176697452,0.770732824,-0.017504158,-0.004265719,0.022064065
61,-0.59855,-0.59855,-0.59855,0.478840367,0.178161774,0.777078287,-0.017504158,-0.004265719,0.022064065
62,-0.598551,0,1.197101,0.477864118,0.176697452,0.777078287,-0.017945439,-0.003677344,0.021622783
63,-0.59855,-0.598551,-0.598551,0.488114475,0.180114271,0.779030785,-0.017945439,-0.003677344,0.021622783
